
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
BE:E6:3F:14:D8:AC, 2017-12-01 16:12:58, 2017-12-01 16:29:12,  4,  -1, , ,   , -51,        0,        0,   0.  0.  0.  0,   0, , 
50:60:28:CC:D8:01, 2017-12-01 14:02:03, 2017-12-01 16:29:12,  1,  54, WPA2, CCMP,PSK, -70,        9,        0,   0.  0.  0.  0,   6, \x00\x00\x00\x00\x00\x00, 
62:98:AD:2E:12:33, 2017-12-01 16:29:13, 2017-12-01 16:29:14,  1,  54, WPA2, CCMP,PSK, -74,        1,        0,   0.  0.  0.  0,  22, iPhone de Giovanna (2), 
50:60:28:CC:D8:02, 2017-12-01 14:02:03, 2017-12-01 16:29:13,  1,  54, WPA2, CCMP, MGT, -76,        7,        0,   0.  0.  0.  0,   7, WIMI_N1, 
50:60:28:0F:93:42, 2017-12-01 14:02:04, 2017-12-01 16:29:12,  6,  54, OPN, ,   , -83,       14,      135,  10.109. 11.157,  18, _SNCF gare-gratuit, 
A2:F8:95:2B:39:27, 2017-12-01 16:29:11, 2017-12-01 16:29:11,  6,  54, WPA2, CCMP,PSK, -87,        0,        0,   0.  0.  0.  0,   8, dSUNSET2, 
48:13:7E:B5:09:A6, 2017-12-01 16:26:56, 2017-12-01 16:29:11,  6,  54, WPA2, CCMP,PSK, -89,        0,        0,   0.  0.  0.  0,   9, AndroidAP, 
30:7C:B2:D0:A5:D3, 2017-12-01 14:03:47, 2017-12-01 16:28:03, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -87,        4,        2,   0.  0.  0.  0,  12, Livebox-a5cf, 
02:25:85:D9:98:D3, 2017-12-01 14:04:40, 2017-12-01 16:26:55, 10,  11, OPN, ,   ,  -1,        3,        0,   0.  0.  0.  0,   8, HPC76B14, 
96:FE:F4:99:98:48, 2017-12-01 16:26:55, 2017-12-01 16:26:55,  1,  54, WPA2, CCMP,PSK, -66,        3,        0,   0.  0.  0.  0,  11, Bbox-999848, 
2A:5A:EB:85:B0:52, 2017-12-01 16:26:56, 2017-12-01 16:26:57,  1,  54, WPA2, CCMP,PSK, -67,        3,        0,   0.  0.  0.  0,   6, iPhone, 
60:AF:6D:F4:90:52, 2017-12-01 16:26:57, 2017-12-01 16:26:57,  6,  54, WPA2, CCMP,PSK, -71,        1,        0,   0.  0.  0.  0,   9, AndroidAP, 
FE:41:5F:C8:AD:FB, 2017-12-01 16:26:56, 2017-12-01 16:26:56,  6,  54, WPA2, CCMP,PSK, -71,        2,        0,   0.  0.  0.  0,  14, iPhone de Alix, 
86:25:19:00:4A:6C, 2017-12-01 16:26:55, 2017-12-01 16:26:55,  1,  54, WPA2, CCMP,PSK, -75,        2,        0,   0.  0.  0.  0,  21, DIRECT-ajM2020 Series, 
48:83:C7:54:0C:CA, 2017-12-01 14:04:39, 2017-12-01 16:26:56,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -82,        3,        1,   0.  0.  0.  0,  12, Livebox-40fa, 
A2:27:01:D9:ED:F4, 2017-12-01 14:04:39, 2017-12-01 16:26:56,  1,  54, OPN, ,   , -82,        2,        0,   0.  0.  0.  0,   8, FreeWifi, 
66:EB:8C:41:BA:25, 2017-12-01 16:26:55, 2017-12-01 16:26:56,  6,  54, WPA2, CCMP,PSK, -83,        3,        0,   0.  0.  0.  0,  15, DIRECT-8C413A25, 
A2:27:01:D9:ED:F5, 2017-12-01 14:04:39, 2017-12-01 16:26:55,  1,  54, WPA, CCMP, MGT, -83,        2,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
